date;time;activity;acceleration_x;acceleration_y;acceleration_z;gyro_x;gyro_y;gyro_z
01/07/23;13:51:15:847724020;1;0.2650;-0.7814;-0.0076;-0.0590;0.0325;-2.9296
01/07/23;13:51:16:246945023;1;0.6722;-1.1233;-0.2344;-0.1757;0.0208;0.1269
01/07/23;13:52:59:745981991;0;0.6324;-1.0884;-0.2029;0.2663;-0.7370;1.5198
01/07/23;13:52:59:946735978;0;0.5211;-1.1660;-0.0669;-0.4915;-1.4886;-1.5622
01/07/23;13:53:0:146777987;1;0.3387;-0.8848;0.1047;-0.6261;-0.5139;-2.2408
01/07/23;13:53:0:346624970;1;0.4614;-1.1464;-0.0183;0.2165;0.2491;0.6734
01/07/23;13:54:59:729689002;0;0.3654;-0.7525;-0.1846;0.3913;0.1730;2.3572
01/07/23;13:54:59:929346978;0;0.5742;-1.0410;-0.2881;0.2379;-0.2413;0.8891
01/07/23;13:55:0:129773974;1;0.6054;-1.3065;-0.0821;-0.6474;-0.7148;-1.6279
01/07/23;13:55:0:329699993;1;0.3311;-0.9232;-0.0014;-0.0986;-0.4389;-3.3419
