timestamp;user;acceleration_x;acceleration_y;acceleration_z;gyro_x;gyro_y;gyro_z
;;0.0658;-1.0527;-0.2025;0.6859;-0.0266;0.4760
;;0.2720;-0.7855;-0.2136;0.8190;-0.2230;0.6257
;;0.3877;-1.2523;-0.3981;-0.3096;-0.7895;-0.0339
;;0.2469;-0.9776;-0.1267;-1.6687;-0.3728;-1.9334
;;0.2469;-0.8865;-0.0648;-0.4948;0.1052;-0.4319
;;0.2620;-1.0921;-0.3167;1.2078;0.0641;1.7940
;;0.2426;-0.7196;-0.2247;0.9052;0.3209;1.1882
;;0.2578;-1.2583;-0.3942;0.0385;0.3700;0.1407
;;0.2320;-1.1796;-0.1831;-1.3377;-0.5220;-1.0762
;;0.1479;-0.8001;-0.0704;-1.0981;-0.0103;-1.8828
;;0.2482;-1.0002;-0.2616;1.0709;-0.1145;1.2998
;;0.1903;-0.8585;-0.2978;0.8388;0.6986;1.0039
;;0.3247;-1.0402;-0.3952;0.3458;-0.1287;0.6584
;;0.1221;-1.2289;-0.2263;-0.7298;-0.6925;-0.9311
;;0.0561;-0.6681;-0.0454;-0.5799;-0.2708;-0.2240
;;0.2553;-1.1097;-0.2005;-0.0538;0.5676;-0.0426
;;-0.0674;-1.2387;-0.1366;0.3630;-0.5602;-0.0204
;;0.1049;-0.7328;-0.1984;0.5647;0.4496;0.8366
;;0.2027;-1.3480;-0.3147;0.0499;0.5281;0.3040
;;0.2156;-0.9086;-0.1648;-1.0069;-0.2181;-0.9805
;;0.1563;-0.8117;-0.0899;-0.8720;-0.3814;-1.1245
;;0.1921;-1.1662;-0.2255;1.0254;-0.2869;0.9150
;;0.1206;-0.7301;-0.2146;0.7604;0.8862;0.7752
;;0.1779;-1.0352;-0.3207;0.4349;0.0962;0.5426
;;0.2807;-1.2015;-0.2721;-0.9612;-1.1658;-0.8330
;;0.1579;-0.8240;-0.0727;-1.3879;-0.1774;-1.4381
;;0.2551;-1.1575;-0.1819;0.2906;0.5304;0.7234
;;0.0985;-0.8491;-0.1964;0.9344;0.3029;1.0678
;;0.2444;-0.8723;-0.3126;0.7197;0.2704;0.8320
;;0.2419;-1.1724;-0.3275;-0.5708;-0.6146;-0.3299
;;0.1463;-0.8342;-0.1168;-1.5039;-0.6016;-1.7109
;;0.2372;-0.9362;-0.1406;-0.5132;0.4642;-0.2398
;;0.1916;-1.1521;-0.2953;1.1226;-0.4026;1.3856
;;0.2400;-0.6685;-0.2479;0.9419;0.0542;0.7506
;;0.1402;-1.5303;-0.3961;-0.3409;0.4594;0.1114
;;0.1759;-0.9579;-0.1761;-1.3222;-0.4387;-1.0768
;;0.1506;-0.8564;-0.0669;-0.8444;0.4109;-0.6979
;;0.1848;-0.9747;-0.3054;1.0866;0.2536;1.5335
